Time,非市场化核电总加_日前,竞价空间_日前,风力发电_日前,联络线计划_日前,光伏发电_日前,新能源总加_日前,省调负荷_日前,全网负荷_日前,现货出清电价-日前_D-2,现货出清电价-实时_D-2,实时-日前偏差值_D-2,label,实时-日前偏差值_D-2_label,实时-日前偏差值_D-3_label,现货出清电价-日前_D-3,现货出清电价-实时_D-3
2025-08-01 00:00:00,1621.0,53203.885,5011.7275,20427.25,0.0,5011.7275,80263.8625,86613.8825,403.5,424.66,21.16,0,1,1.0,406.21,417.02
2025-08-01 00:00:00,1621.0,53203.885,5011.7275,20427.25,0.0,5011.7275,80263.8625,86613.8825,403.5,424.66,21.16,0,1,1.0,406.21,417.02
2025-08-01 01:00:00,1621.0,,4460.07,20522.25,0.0,4460.07,79998.5175,86348.54000000000,414.4,431.09,16.69,0,1,0.0,414.52,411.48
2025-08-01 02:00:00,1621.0,50437.715000000000,4122.835,20738.5,0.0,,76920.05,83270.07,400.6,407.37,6.77,1,1,1.0,396.3,400.48
2025-08-01 03:00:00,1621.0,48733.1275,,20658.75,0.0,3980.1625,74993.04000000000,81343.0675,389.05,392.83,3.78,1,1,1.0,380.42,392.13
2025-08-01 03:00:00,1621.0,48733.1275,,20658.75,0.0,3980.1625,74993.04000000000,81343.0675,389.05,392.83,3.78,1,1,1.0,380.42,392.13
2025-08-01 04:00:00,1621.0,47934.735,3978.3375,20784.25,7.45,3985.7875,74325.77250000000,80686.1325,384.61,387.03,2.42,1,1,1.0,375.14,381.88
2025-08-01 05:00:00,1621.0,47211.455,4014.425,21663.5,,4417.35,74913.305,81894.16,374.01,377.89,3.88,1,1,0.0,381.56,379.62
2025-08-01 06:00:00,1621.0,42958.845,3991.175,22795.25,2348.4825,6339.6575,73714.7525,83636.8625,334.39,334.12,-0.27,1,0,0.0,344.0,333.0
2025-08-01 07:00:00,1621.0,38885.0225,3930.8900000000000,24184.25,5625.3525,9556.2425,74246.515,89337.355,258.79,233.11,-25.68,0,0,0.0,303.82,271.31
2025-08-01 08:00:00,1621.0,36436.6275,4031.545,27113.0,9219.225,13250.77,78421.3975,99211.68,155.76,133.78,-21.98,1,0,0.0,282.08,216.36
2025-08-01 08:00:00,1621.0,36436.6275,4031.545,27113.0,9219.225,13250.77,78421.3975,99211.68,155.76,133.78,-21.98,1,0,0.0,282.08,216.36
2025-08-01 09:00:00,1621.0,33976.667500000000,,28220.75,12157.9475,16505.6025,80324.02,105781.02250000000,162.03,66.37,-95.66,0,0,0.0,266.58,134.12
2025-08-01 10:00:00,1621.0,32828.15,4728.6275000000000,27595.25,13979.6775,18708.305,80752.705,109909.9725,177.88,75.85,-102.03,0,0,0.0,256.96,186.61
2025-08-01 11:00:00,1621.0,31928.715,5100.59,26533.0,14729.337500000000,19829.927500000000,79912.6425,111185.32,180.08,91.68,-88.4,0,0,0.0,267.81,262.8
2025-08-01 12:00:00,1621.5,32484.1975,5398.9425,25187.75,14547.7575,19946.700000000000,79240.14750000000,110328.4675,161.55,88.41,-73.14,0,0,0.0,261.01,188.95
2025-08-01 13:00:00,1622.3,34664.43,5623.0875,25442.0,13544.4825,19167.57,80896.3,110266.4225,170.65,173.77,3.12,0,1,0.0,269.93,204.42
2025-08-01 14:00:00,1623.1,,5786.2825,25568.75,11732.5475,17518.83,82430.555,108874.0875,259.33,308.55,49.22,0,1,1.0,303.94,306.02
2025-08-01 15:00:00,1623.9,41600.605,5870.15,26198.5,9116.9525,14987.1025,84410.1075,106671.5325,352.17,392.69,40.52,1,1,0.0,364.33,363.33
2025-08-01 16:00:00,1624.7,45340.295,5874.12,27537.5,6113.9325,11988.0525,86490.5475,103671.535,386.11,438.76,52.65,1,1,1.0,391.96,393.25
2025-08-01 17:00:00,1625.5,49667.957500000000,5739.255,28566.75,2965.39,,88564.8525,100649.63500000000,445.65,460.99,15.34,1,1,0.0,427.3,420.95
2025-08-01 18:00:00,1626.3,53739.3425,5555.785,28945.5,673.2000000000000,6228.985,90540.1275,99160.58500000000,522.78,696.86,174.08,1,1,0.0,442.11,440.16
2025-08-01 18:00:00,1626.3,53739.3425,5555.785,28945.5,673.2000000000000,6228.985,90540.1275,99160.58500000000,522.78,696.86,174.08,1,1,0.0,442.11,440.16
2025-08-01 19:00:00,1627.1,56371.81,5451.605,28772.25,6.3950000000000000,5458.0,92229.16,99643.925,518.29,963.34,445.05,0,1,1.0,444.37,445.3
2025-08-01 20:00:00,1627.9,56727.2825,5318.46,28548.75,0.0,5318.46,92222.3925,99572.9925,517.25,679.47,162.22,0,1,0.0,443.0,433.2
2025-08-01 21:00:00,1628.7,55927.7375,5030.3575,27356.75,0.0,5030.3575,89943.545,97293.6175,501.44,584.97,83.53,0,1,0.0,433.47,423.5
2025-08-01 22:00:00,1629.0,55217.6275,4620.422500000000,24080.75,0.0,4620.422500000000,85547.8,92897.81,457.55,464.94,7.39,0,1,0.0,424.06,413.24
2025-08-01 23:00:00,1629.0,56160.4675,4203.635,20856.0,0.0,4203.635,82849.10250000000,90199.1125,495.24,419.42,-75.82,0,0,0.0,423.37,416.02
2025-08-02 00:00:00,1629.0,55782.925,3468.1625,21531.75,0.0,3468.1625,82411.8375,88761.9725,1131.69,398.91,-732.78,1,0,1.0,403.5,424.66
2025-08-02 01:00:00,1629.0,55501.4225,3134.4875,21522.5,0.0,3134.4875,81787.41,88137.5425,812.52,405.41,-407.11,1,0,1.0,414.4,431.09
2025-08-02 02:00:00,1629.0,52491.2475,2874.685,21513.0,0.0,2874.685,78507.9325,84858.065,368.34,381.15,12.81,0,1,1.0,400.6,407.37
2025-08-02 03:00:00,1629.0,50275.86,2714.1275,21491.75,0.0,2714.1275,76110.7375,82460.9125,350.88,371.35,20.47,1,1,1.0,389.05,392.83
2025-08-02 04:00:00,1629.0,49965.4225,2642.07,21474.25,2.6975000000000000,2644.7675,75713.44,82077.1625,341.04,360.19,19.15,0,1,1.0,384.61,387.03
2025-08-02 05:00:00,1629.0,49104.75,2637.255,22437.0,439.175,3076.4300000000000,76247.18000000000,83297.3625,329.78,345.24,15.46,0,1,1.0,374.01,377.89
2025-08-02 06:00:00,1629.0,43416.5125,2634.0575,23590.5,2896.005,5530.0625,74166.075,84599.1275,281.64,287.04,5.4,0,1,0.0,334.39,334.12
2025-08-02 07:00:00,1629.0,37717.475,2600.485,25189.25,7058.575,9659.06,74194.785,90496.35,252.09,253.42,1.33,0,1,0.0,258.79,233.11
2025-08-02 08:00:00,1629.0,33901.0125,2648.28,27832.75,11362.415,14010.695,77373.4575,100440.91500000000,257.47,264.4,6.93,0,1,0.0,155.76,133.78
2025-08-02 09:00:00,1629.0,31136.9225,2810.9275,28252.25,14769.48,17580.4075,78598.58,107290.7525,289.92,260.67,-29.25,0,0,0.0,162.03,66.37
2025-08-02 10:00:00,1629.0,30594.82,3022.3575,27972.25,16831.465,19853.822500000000,80049.8925,112768.25,321.23,277.08,-44.15,0,0,0.0,177.88,75.85
2025-08-02 11:00:00,1629.0,30745.105,3261.4775,26788.75,17647.995,20909.4725,80072.3275,114845.28,324.11,286.78,-37.33,0,0,0.0,180.08,91.68
2025-08-02 12:00:00,1629.0,31080.120000000000,3531.3675,25713.0,17382.8325,20914.2,79336.32,114405.1075,321.74,288.37,-33.37,0,0,0.0,161.55,88.41
2025-08-02 13:00:00,1629.0,33747.8675,3816.785,25752.25,16226.1325,20042.9175,81172.035,114799.27,332.5,309.88,-22.62,0,0,1.0,170.65,173.77
2025-08-02 14:00:00,1629.0,36911.575,4103.6775,25884.5,14132.6125,18236.29,82661.36500000000,113007.3,330.64,322.01,-8.63,0,0,1.0,259.33,308.55
2025-08-02 15:00:00,1629.0,41344.8825,4404.38,26952.25,11137.225,15541.605,85467.73750000000,110773.72,339.8,345.49,5.69,0,1,1.0,352.17,392.69
2025-08-02 16:00:00,1629.0,47654.89,4672.45,28037.5,7475.2,12147.65,89469.04000000000,108466.7675,355.34,401.81,46.47,0,1,1.0,386.11,438.76
